"","S12000005","S12000006","S12000008","S12000010","S12000011","S12000013","S12000014","S12000015","S12000017","S12000018","S12000019","S12000020","S12000021","S12000023","S12000024","S12000026","S12000027","S12000028","S12000029","S12000030","S12000033","S12000034","S12000035","S12000036","S12000038","S12000039","S12000040","S12000041","S12000042","S12000044","S12000045","S12000046"
"S12000005",10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,2,0,1,0,0,0,0,0,0
"S12000006",0,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"S12000008",0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,4
"S12000010",0,0,0,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1
"S12000011",0,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,13
"S12000013",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000014",0,0,0,0,0,0,27,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,6,0,0,3,0,0,3,1,3
"S12000015",1,0,0,0,0,0,0,83,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,11,0,0,1,1,7,0,0,1
"S12000017",0,0,0,0,0,0,0,0,98,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"S12000018",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,3
"S12000019",0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,2,0,0,1,0,0,0,0,20,0,0,1,0,0,0,0,1
"S12000020",0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"S12000021",0,0,3,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"S12000023",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000024",1,0,0,0,1,0,0,1,0,0,0,0,0,0,38,0,0,0,0,0,1,1,0,5,0,0,1,0,9,0,0,1
"S12000026",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,33,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,1
"S12000027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000028",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,1,0,0,0,0,0,2,0,0,0,0,0,0,1
"S12000029",0,1,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,1,49,1,0,0,0,9,2,0,1,0,0,9,1,32
"S12000030",3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,21,0,0,0,2,0,2,0,0,0,0,0,9
"S12000033",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,74,10,0,1,0,0,0,0,1,0,0,0
"S12000034",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,54,0,0,0,0,0,0,0,0,0,0
"S12000035",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,1,0,0,0,0,0,5
"S12000036",3,0,1,11,0,0,0,13,2,0,15,0,0,0,3,1,0,1,0,4,0,0,1,345,0,0,8,1,1,0,0,5
"S12000038",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,29,1,0,0,0,0,0,21
"S12000039",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,19,0,0,0,1,1,9
"S12000040",0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,30,0,0,3,0,2
"S12000041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,24,5,0,0,1
"S12000042",0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,9,49,0,0,0
"S12000044",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,3,2,1,2,0,0,29,1,12
"S12000045",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3,10,18
"S12000046",0,0,3,1,4,0,5,0,3,1,0,0,1,0,3,0,0,1,7,5,0,0,0,4,12,3,3,2,0,10,6,189
